@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
4.356937,0.455875,0.5255,0.347111,0.188616,0.123099,0.819925,0.440007,0.413947,0.190184,0.167346,0.129131,0.186156,0.014609,0.080351,0.069169,0.06282,0.174525,0.100008,0.070873,0.064126,0.087163,0.074281,0.016861,0.017744,0.059786,0.054381,0.056598,0.044219,0.038044,0.054386,0.050155,0.097466,0.050155,0.054386,0.038044,0.044219,0.056598,0.054381,0.059786,0.017744,0.016861,0.074281,0.087163,0.064126,0.070873,0.100008,0.174525,0.06282,0.069169,0.080351,0.014609,0.186156,0.129131,0.167346,0.190184,0.413947,0.440007,0.819925,0.123099,0.188616,0.347111,0.5255,0.455875,0.150973,standing
4.411269,0.592913,0.455208,0.30681,0.179905,0.273774,0.724706,0.513503,0.101088,0.02987,0.13448,0.117137,0.084195,0.029831,0.087605,0.044045,0.054155,0.070811,0.055341,0.081623,0.050523,0.083023,0.020001,0.051115,0.04674,0.050377,0.007205,0.039617,0.056535,0.042329,0.068607,0.046603,0.019031,0.046603,0.068607,0.042329,0.056535,0.039617,0.007205,0.050377,0.04674,0.051115,0.020001,0.083023,0.050523,0.081623,0.055341,0.070811,0.054155,0.044045,0.087605,0.029831,0.084195,0.117137,0.13448,0.02987,0.101088,0.513503,0.724706,0.273774,0.179905,0.30681,0.455208,0.592913,0.146953,standing
3.258043,0.530102,0.6723,0.340506,0.265116,0.262758,0.698549,0.096808,0.256404,0.109003,0.123218,0.132757,0.03415,0.09766,0.065419,0.062333,0.052853,0.125135,0.041686,0.013824,0.07074,0.062828,0.053864,0.082258,0.05333,0.018348,0.057896,0.024045,0.072323,0.046406,0.010938,0.034135,0.016576,0.034135,0.010938,0.046406,0.072323,0.024045,0.057896,0.018348,0.05333,0.082258,0.053864,0.062828,0.07074,0.013824,0.041686,0.125135,0.052853,0.062333,0.065419,0.09766,0.03415,0.132757,0.123218,0.109003,0.256404,0.096808,0.698549,0.262758,0.265116,0.340506,0.6723,0.530102,0.119995,standing
5.940019,1.228377,0.238061,0.225057,0.115143,0.231173,0.826164,1.479268,0.521751,0.117967,0.1393,0.079419,0.157642,0.26396,0.241902,0.093653,0.104197,0.060491,0.060621,0.02998,0.048314,0.105402,0.029846,0.059237,0.103598,0.058385,0.013081,0.02833,0.014827,0.026254,0.059911,0.005449,0.032011,0.005449,0.059911,0.026254,0.014827,0.02833,0.013081,0.058385,0.103598,0.059237,0.029846,0.105402,0.048314,0.02998,0.060621,0.060491,0.104197,0.093653,0.241902,0.26396,0.157642,0.079419,0.1393,0.117967,0.521751,1.479268,0.826164,0.231173,0.115143,0.225057,0.238061,1.228377,0.222338,standing
4.07732,0.253539,0.104261,0.199717,0.578964,0.216944,0.395023,0.446706,0.666185,0.255818,0.076263,0.198736,0.145733,0.024716,0.071054,0.020809,0.059364,0.047405,0.045284,0.097538,0.129547,0.045654,0.091028,0.040339,0.110175,0.05739,0.089393,0.158795,0.055168,0.080472,0.096254,0.083746,0.049278,0.083746,0.096254,0.080472,0.055168,0.158795,0.089393,0.05739,0.110175,0.040339,0.091028,0.045654,0.129547,0.097538,0.045284,0.047405,0.059364,0.020809,0.071054,0.024716,0.145733,0.198736,0.076263,0.255818,0.666185,0.446706,0.395023,0.216944,0.578964,0.199717,0.104261,0.253539,0.134796,standing
3.893755,0.797792,0.195529,0.266389,0.479839,0.463055,0.369664,0.53665,0.273969,0.382741,0.22233,0.078461,0.174037,0.10774,0.049296,0.083916,0.147728,0.118112,0.044209,0.059438,0.066491,0.11078,0.12097,0.056315,0.108269,0.013074,0.057511,0.041736,0.073012,0.098032,0.078726,0.035796,0.047658,0.035796,0.078726,0.098032,0.073012,0.041736,0.057511,0.013074,0.108269,0.056315,0.12097,0.11078,0.066491,0.059438,0.044209,0.118112,0.147728,0.083916,0.049296,0.10774,0.174037,0.078461,0.22233,0.382741,0.273969,0.53665,0.369664,0.463055,0.479839,0.266389,0.195529,0.797792,0.155297,standing
4.153043,0.514153,0.405306,0.381996,0.385854,0.558001,0.41789,0.359739,0.243866,0.25612,0.21593,0.151864,0.026397,0.096509,0.09283,0.049425,0.093453,0.126766,0.079756,0.04365,0.116544,0.040356,0.064882,0.066692,0.029098,0.026729,0.058522,0.10159,0.019595,0.057267,0.046677,0.059595,0.046373,0.059595,0.046677,0.057267,0.019595,0.10159,0.058522,0.026729,0.029098,0.066692,0.064882,0.040356,0.116544,0.04365,0.079756,0.126766,0.093453,0.049425,0.09283,0.096509,0.026397,0.151864,0.21593,0.25612,0.243866,0.359739,0.41789,0.558001,0.385854,0.381996,0.405306,0.514153,0.147072,standing
3.562215,0.591676,0.105038,0.118464,0.264103,0.196577,0.311046,0.763609,0.418546,0.283675,0.149752,0.24958,0.140684,0.22979,0.090587,0.065318,0.086228,0.089669,0.141065,0.114855,0.096202,0.114668,0.043753,0.014402,0.049384,0.068698,0.010402,0.040622,0.067685,0.082612,0.077784,0.045149,0.008404,0.045149,0.077784,0.082612,0.067685,0.040622,0.010402,0.068698,0.049384,0.014402,0.043753,0.114668,0.096202,0.114855,0.141065,0.089669,0.086228,0.065318,0.090587,0.22979,0.140684,0.24958,0.149752,0.283675,0.418546,0.763609,0.311046,0.196577,0.264103,0.118464,0.105038,0.591676,0.138589,standing
7.37407,2.266615,0.507547,0.438522,0.68233,0.593096,0.495031,1.758484,0.650232,0.446033,0.252577,0.116566,0.074849,0.261532,0.157904,0.213257,0.151041,0.122521,0.065637,0.042724,0.044042,0.024138,0.016723,0.108116,0.142431,0.102815,0.06481,0.070761,0.088072,0.04326,0.040636,0.006371,0.063728,0.006371,0.040636,0.04326,0.088072,0.070761,0.06481,0.102815,0.142431,0.108116,0.016723,0.024138,0.044042,0.042724,0.065637,0.122521,0.151041,0.213257,0.157904,0.261532,0.074849,0.116566,0.252577,0.446033,0.650232,1.758484,0.495031,0.593096,0.68233,0.438522,0.507547,2.266615,0.267447,standing
8.102328,0.386072,0.273638,0.483487,1.151424,0.77615,1.250831,1.111131,0.082603,0.216057,0.362672,0.083781,0.174913,0.18332,0.006965,0.175504,0.019381,0.061223,0.152678,0.022641,0.03849,0.099661,0.076815,0.101837,0.014197,0.076589,0.022106,0.053774,0.069208,0.084901,0.044504,0.040511,0.035444,0.040511,0.044504,0.084901,0.069208,0.053774,0.022106,0.076589,0.014197,0.101837,0.076815,0.099661,0.03849,0.022641,0.152678,0.061223,0.019381,0.175504,0.006965,0.18332,0.174913,0.083781,0.362672,0.216057,0.082603,1.111131,1.250831,0.77615,1.151424,0.483487,0.273638,0.386072,0.232965,standing
